run_id,model,corpus,n_members,epochs,lr,seed,attack,auroc,tpr_at_fpr_1pct,tpr_at_fpr_01pct,adv,tv_empirical,kl_score_space,pinsker,bh,bound,tightness_gap,adv_over_bound,samples_per_bin,kl_bins_15,bound_bins_15,kl_bins_20,bound_bins_20,kl_bins_30,bound_bins_30,kl_bins_50,bound_bins_50,auroc_ci_lo,auroc_ci_hi,tpr_at_fpr_1pct_ci_lo,tpr_at_fpr_1pct_ci_hi,tpr_at_fpr_01pct_ci_lo,tpr_at_fpr_01pct_ci_hi,adv_ci_lo,adv_ci_hi,tv_empirical_ci_lo,tv_empirical_ci_hi,kl_score_space_ci_lo,kl_score_space_ci_hi,pinsker_ci_lo,pinsker_ci_hi,bh_ci_lo,bh_ci_hi,bound_ci_lo,bound_ci_hi,tightness_gap_ci_lo,tightness_gap_ci_hi,adv_over_bound_ci_lo,adv_over_bound_ci_hi,n_members_scored,n_nonmembers_scored,perplexity,next_token_acc
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,1,5e-05,42,loss,0.599822625,0.012,0.0025,0.1775,0.17399999999999985,0.08348424313538594,0.20430888763754984,0.2830095733632626,0.20430888763754984,0.02680888763754985,0.8687825676721924,100.0,0.07660297728701858,0.1957076611773522,0.08348424313538594,0.20430888763754984,0.09142133506665932,0.21380053211657277,0.1259963873176424,0.25099440961667097,0.5814161125,0.6181489375,0.007,0.018,0.0,0.0055,0.1529875,0.2110125,0.15150000000000002,0.20801249999999977,0.07043536607519499,0.12138413519135541,0.18766374306946262,0.24635760102687093,0.26079114070853326,0.3380921942954577,0.18766374306946262,0.24635760102687093,0.01835629924924244,0.051388500902142045,0.7639688927403829,0.9112775516142512,2000,2000,51.72460778739017,0.35058025915836355
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,1,5e-05,42,ref,0.71296775,0.01,0.0005,0.38149999999999995,0.35950000000000004,0.41066350399881296,0.4531354676025774,0.5803360564439197,0.4531354676025774,0.07163546760257744,0.8419115855539135,100.0,0.3907218819750172,0.4419965395650837,0.41066350399881296,0.4531354676025774,0.44460681497696286,0.47149062290620525,0.45710960816241564,0.47807405710957357,0.6974419625,0.72801606875,0.005,0.01601249999999999,0.0,0.0025,0.3605,0.4075,0.33698749999999994,0.39501249999999993,0.3683365798829363,0.4806827816381493,0.4291483309139589,0.49024625287800366,0.5550817343410784,0.6177693362848435,0.4291483309139589,0.49024625287800366,0.05042137367468011,0.0981555868190647,0.7932507202476531,0.8863642889701466,2000,2000,51.72460778739017,0.35058025915836355
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,1,5e-05,42,zlib,0.5346627500000001,0.0135,0.0005,0.051500000000000046,0.061,0.01504981850624857,0.08674623480661443,0.12221757639476297,0.08674623480661443,0.03524623480661439,0.5936857099885694,100.0,0.014125899709170817,0.08404135800060235,0.01504981850624857,0.08674623480661443,0.017489635400263433,0.0935137300086555,0.02773862717418402,0.11776804994179028,0.5169066437500001,0.5533193624999999,0.0065,0.028,0.0,0.005,0.0375,0.08951249999999998,0.046000000000000034,0.09601250000000001,0.013001455815684938,0.041520551741429684,0.08062694348200083,0.14408426514281564,0.11365409762203185,0.20166898601852062,0.08062694348200083,0.14408426514281564,0.022453530525005115,0.07790346131077454,0.37012811428540243,0.7673634347787966,2000,2000,51.72460778739017,0.35058025915836355
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,1,5e-05,42,mink,0.650014,0.012,0.0025,0.25199999999999995,0.23849999999999982,0.15900364621581553,0.2819606765276104,0.3834145944457683,0.2819606765276104,0.029960676527610475,0.8937416490250312,100.0,0.15537475380524413,0.27872455382083233,0.15900364621581553,0.2819606765276104,0.1714844216674406,0.2928177092214887,0.1921350917643754,0.3099476502285309,0.63222801875,0.66746110625,0.007,0.018,0.0,0.0055,0.224,0.285,0.21249999999999986,0.27349999999999974,0.13775439537010503,0.24410117774297396,0.26244462553838027,0.34935739407489874,0.3587301241603475,0.465394062137412,0.26244462553838027,0.34935739407489874,0.021174027836310214,0.09132318611220418,0.7336140455405318,0.9246034347558424,2000,2000,51.72460778739017,0.35058025915836355
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,1,5e-05,42,minkpp,0.72472575,0.012,0.002,0.37499999999999994,0.0005000000000000931,0.00491013137889906,0.04954861945049054,0.06998640146249907,0.04954861945049054,-0.3254513805495094,7.568323883871347,100.0,0.0049101316244055905,0.04954862068920582,0.00491013137889906,0.04954861945049054,0.004910130887886068,0.04954861697306025,0.0049101299058601595,0.04954861201819966,0.70795351875,0.7398837749999999,0.006987500000000012,0.0175,0.0,0.005,0.3495,0.4055,0.0005000000000000931,0.36251250000000035,0.0049101313788989485,0.3578265437115326,0.04954861945048998,0.4229814063662783,0.06998640146249828,0.5484575208021104,0.04954861945048998,0.4229814063662783,-0.34645138054950947,0.04271003081501152,0.9004622050254811,7.992150021368144,2000,2000,51.72460778739017,0.35058025915836355
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,1,5e-05,42,rmia,0.7129622499999999,0.01,0.0005,0.381,0.3795,0.4154045203871997,0.4557436342875234,0.5830324059435884,0.4557436342875234,0.0747436342875234,0.8359963175253733,100.0,0.41051338822310496,0.453052639448831,0.4154045203871997,0.4557436342875234,0.42201161567095047,0.4593536849046443,0.4405446464017164,0.4693317837104773,0.69747609375,0.7279837499999999,0.0055,0.0165,0.0,0.003,0.36,0.4075,0.3565000000000001,0.404,0.38085649958477485,0.4691587967871618,0.4363808525979214,0.4843339736415314,0.5627824306683724,0.6119409741214552,0.4363808525979214,0.4843339736415314,0.06629084659509238,0.08828254441206596,0.8092213421409793,0.8557367855730434,2000,2000,51.72460778739017,0.35058025915836355
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,2,5e-05,42,loss,0.6944217500000001,0.0105,0.0005,0.355,0.3470000000000002,0.29990821963743086,0.3872390861195644,0.5090322029430983,0.3872390861195644,0.03223908611956444,0.9167463015094239,100.0,0.2935656524279126,0.3831224689494944,0.29990821963743086,0.3872390861195644,0.30730647991182664,0.3919862752137035,0.31919472564672025,0.3994963864959984,0.67710551875,0.71185368125,0.006,0.017,0.0,0.003,0.32748750000000004,0.3845,0.3169874999999999,0.3760125000000005,0.26616989456685797,0.3572173569261319,0.3648080958403614,0.42262119721476954,0.4834160467141349,0.5480689569125508,0.3648080958403614,0.42262119721476954,0.021908030755051325,0.05111133729413748,0.872811647635834,0.9430732566367411,2000,2000,45.27979043479479,0.37760020531630206
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,2,5e-05,42,ref,0.813201875,0.0115,0.0015,0.5405,0.522,0.8042307749913404,0.634125687459253,0.7433491978336888,0.634125687459253,0.09362568745925304,0.8523546840778798,100.0,0.7897227324748853,0.6283799537202334,0.8042307749913404,0.634125687459253,0.8641804667687588,0.6573357082833545,0.8849902438784412,0.6652030681973893,0.7992972625,0.8262455249999999,0.005,0.017,0.0,0.0035,0.52,0.5665125,0.5049874999999999,0.5570125,0.7640174616218868,0.9232156460304696,0.6180685485716644,0.6794172621798221,0.7308957762468792,0.7763764444410148,0.6180685485716644,0.6794172621798221,0.08265087906309547,0.12919517598239175,0.8059176404691276,0.8686622937514745,2000,2000,45.27979043479479,0.37760020531630206
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,2,5e-05,42,zlib,0.57472425,0.0105,0.0015,0.10299999999999998,0.10850000000000015,0.04753051068043122,0.15415983698815852,0.21544981255021087,0.15415983698815852,0.05115983698815854,0.668137707021004,100.0,0.04548154587358409,0.15080044077121277,0.04753051068043122,0.15415983698815852,0.051737177873183444,0.16083715036207188,0.07053957275230167,0.187802519621412,0.5567546562500001,0.59340549375,0.0035,0.019512499999999988,0.0,0.0035,0.084,0.1395,0.08650000000000006,0.13851250000000012,0.03697683887490372,0.07071783763509404,0.13597212741031617,0.18803967144816564,0.1905296422052085,0.2612953227527654,0.13597212741031617,0.18803967144816564,0.02965160001451971,0.07065545038051035,0.5664459429214308,0.812859244449264,2000,2000,45.27979043479479,0.37760020531630206
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,2,5e-05,42,mink,0.7617805000000001,0.011,0.0005,0.44400000000000006,0.4354999999999999,0.5206909368046273,0.5102405985437788,0.6370950370863133,0.5102405985437788,0.06624059854377873,0.8701777186432662,100.0,0.5038826251872723,0.501937558460847,0.5206909368046273,0.5102405985437788,0.6210756794200449,0.5572592212875642,0.621369142737984,0.5573908605000553,0.7458368062499999,0.7774613374999999,0.006,0.0175,0.0,0.003,0.4174875,0.47301249999999995,0.409,0.4674999999999995,0.47166135382005864,0.6128988656921036,0.4856240077259098,0.5535787493742177,0.6132171063353166,0.6769209326218701,0.4856240077259098,0.5535787493742177,0.0541380711301379,0.09456707488459294,0.8246820338047214,0.8922467722884031,2000,2000,45.27979043479479,0.37760020531630206
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,2,5e-05,42,minkpp,0.86833975,0.0115,0.002,0.659,0.2985000000000003,0.43962505810264596,0.4688416886874747,0.5964243937027851,0.4688416886874747,-0.1901583113125253,1.4055917293636466,100.0,0.9368233769800199,0.6844060844922479,0.43962505810264596,0.4688416886874747,0.971639074534878,0.6970075589743909,1.10509286985267,0.7433346722212916,0.8547778500000001,0.88022096875,0.0065,0.0185,0.0,0.0045,0.636,0.6840125,0.27800000000000025,0.6595125000000008,0.3882401539709741,1.178862170250711,0.4405906001063602,0.7677441373190205,0.5672306060253275,0.8320885696100404,0.4405906001063602,0.7677441373190205,-0.2163315594685972,0.1015850769782945,0.8673983825311911,1.48272311939685,2000,2000,45.27979043479479,0.37760020531630206
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,2,5e-05,42,rmia,0.8131976249999999,0.0115,0.0015,0.5405,0.5365000000000002,0.8268552958366522,0.6429833963006557,0.7500515377818877,0.6429833963006557,0.10248339630065573,0.8406126862835273,100.0,0.8223617191953441,0.6412338571829096,0.8268552958366522,0.6429833963006557,0.8408450264351769,0.6483999639247279,0.8500172021650634,0.6519268372160573,0.799262653125,0.826250078125,0.005987500000000012,0.018,0.0,0.0035,0.5195,0.5660124999999999,0.515,0.56,0.7699314641192894,0.9003859372942012,0.6204560649082759,0.6709642081426923,0.7327722635921663,0.7704461177156714,0.6204560649082759,0.6709642081426923,0.08748368509799322,0.11857723366986546,0.8181316790802455,0.8629378697405916,2000,2000,45.27979043479479,0.37760020531630206
pythia160m_enron_N2000_lr5e-5_seed42_f093,pythia-160m,enron,2000,3,5e-05,42,loss,0.7797704999999999,0.0145,0.0035,0.5095,0.5034999999999996,0.6434429219133874,0.5672049549824946,0.6888540346081127,0.5672049549824946,0.057704954982494616,0.8982643672704242,100.0,0.6188902369941911,0.5562779148025702,0.6434429219133874,0.5672049549824946,0.655819472405631,0.5726340333955148,0.6725234194554045,0.5798807719934351,0.764771175,0.79576791875,0.008,0.0205,0.0,0.0065,0.4859875,0.5370125,0.47550000000000003,0.5284999999999996,0.5864095447522004,0.7208898507434606,0.5414838552746841,0.6003706565625513,0.666092212917529,0.7167152070469719,0.5414838552746841,0.6003706565625513,0.04623424591347659,0.07190898035322145,0.8753454240190262,0.9160624632480336,2000,2000,47.762640620760656,0.400086083137062
