seed,n_members,epochs,m_samples,seq_len_cap,kl_seq_hat,bh_seq_hat,pinsker_seq_hat,kl_tok_hat,tok_bound_hat,tok_bound_hat_capped,adv_ref_existing
0,500,1,200,128,56.437049865722656,1.0,5.312111155921093,56.075592041015625,52.43267059326172,1.0,0.3329999999999999
0,500,5,200,128,118.37077331542967,1.0,7.693203926694966,117.79998016357422,74.8868408203125,1.0,0.7715
0,500,10,200,128,204.6531982421875,1.0,10.115661081762958,205.7718505859375,96.07138061523438,1.0,0.9035
0,500,20,200,128,303.63653564453125,1.0,12.321455588617184,304.9308776855469,106.20794677734376,1.0,0.943
0,2000,1,200,128,74.06348419189453,1.0,6.085371155151283,75.38402557373047,59.68621444702149,1.0,0.258
0,2000,5,200,128,151.52593994140625,1.0,8.704192666221441,151.37457275390625,83.5871810913086,1.0,0.5995
0,2000,10,200,128,233.94024658203125,1.0,10.815272686854254,237.7151031494141,100.73959350585938,1.0,0.774
0,2000,20,200,128,358.2605895996094,1.0,13.383956619766993,358.822509765625,111.87214660644533,1.0,0.8805000000000001
0,6000,1,200,128,99.3582534790039,1.0,7.048342127018378,97.28433227539062,68.76996612548828,1.0,0.1676666666666666
0,6000,5,200,128,163.0492401123047,1.0,9.029098518465304,164.69482421875,86.91570281982422,1.0,0.469
0,6000,10,200,128,253.96910095214844,1.0,11.26874218695566,255.26681518554688,102.20443725585938,1.0,0.6596666666666667
0,6000,20,200,128,361.2724304199219,1.0,13.440097291685092,363.72589111328125,111.98705291748047,1.0,0.8065
