candidate_id,max_kl_t,position_of_max_kl_t,best_ngram_match_length,best_ngram_match_position,background_median_kl_t,spike_to_background_ratio,selected
0,11.197042465209961,2,0,,3.071371555328369,3.645616384570851,False
1,10.301197052001953,2,0,,2.322833776473999,4.4347542886339895,False
2,9.488296508789062,26,0,,3.4678399562835693,2.7360825840871628,False
3,8.60421371459961,4,0,,2.3727049827575684,3.626331034463355,False
4,6.939125061035156,20,0,,3.03649640083313,2.2852406672147723,False
5,7.816026210784912,55,0,,3.460808753967285,2.258439216505402,False
6,9.227333068847656,11,0,,2.9126250743865967,3.1680469793356245,False
7,5.950231552124023,16,0,,2.6392953395843506,2.2544773458589504,False
8,7.878180980682373,13,0,,3.3137991428375244,2.377386389790807,False
9,10.117947578430176,3,0,,3.209143877029419,3.152849472051708,False
10,10.271556854248047,18,0,,2.983031749725342,3.4433280353766884,False
11,10.755475997924805,53,4,53.0,2.6607420444488525,4.042284377158666,False
12,10.54797649383545,35,0,,3.5505876541137695,2.9707692138270096,False
13,7.73146390914917,18,0,,2.560891628265381,3.0190515771204556,False
14,8.27362060546875,11,0,,3.890970230102539,2.1263644068669,False
15,9.711258888244629,26,0,,2.6398701667785645,3.6786880697603723,False
16,8.917731285095215,8,0,,3.1071596145629883,2.8700589578013886,False
17,7.493335247039795,51,0,,2.758030414581299,2.716915378243706,False
18,8.252364158630371,2,0,,2.8933346271514893,2.8521983185729503,False
19,9.041358947753906,20,0,,3.3387749195098877,2.707986961002188,False
20,8.259241104125977,26,0,,2.9327571392059326,2.816203562754682,False
21,7.691706657409668,46,0,,3.1179261207580566,2.466930375996079,False
22,7.714580535888672,32,0,,2.8313794136047363,2.7246721152312636,False
23,9.565041542053223,15,0,,2.6337006092071533,3.6317877243202195,False
24,6.427424430847168,2,0,,3.036487102508545,2.116730357766794,False
25,8.880884170532227,22,4,41.0,3.075528383255005,2.8875962318816537,False
26,10.617429733276367,11,0,,3.5306384563446045,3.0072265581871473,False
27,6.074131965637207,3,0,,2.361480236053467,2.572171417275279,False
28,8.710886001586914,9,0,,3.071505308151245,2.836031563569083,False
29,8.694845199584961,38,4,38.0,3.4194600582122803,2.5427538417075977,False
30,9.36478042602539,23,7,38.0,2.612698554992676,3.5843325316385926,False
31,9.823026657104492,2,4,60.0,2.209221124649048,4.446375488404294,False
32,8.974822998046875,14,4,20.0,2.5029220581054688,3.585738105181017,False
33,7.828497886657715,8,0,,2.845607280731201,2.7510816196134136,False
34,11.780698776245117,59,11,59.0,3.3222291469573975,3.546022340763055,True
35,7.751495838165283,49,0,,3.121913194656372,2.4829312523593368,False
36,8.33814525604248,9,0,,2.8406331539154053,2.9353122364813435,False
37,8.561836242675781,40,0,,3.7364203929901123,2.291454210757071,False
38,8.526653289794922,19,0,,3.7578606605529785,2.269017949308478,False
39,6.84316349029541,54,0,,3.524550437927246,1.9415705948358646,False
