sample_index,position_t,kl_t,bh_t
0,1,6.318819999694824,0.999098539352417
0,2,4.88226318359375,0.9962028861045837
0,3,4.298297882080078,0.9931809306144714
0,4,3.112311363220215,0.9774978160858154
0,5,3.1753807067871094,0.9788880348205566
0,6,2.7036685943603516,0.9659402370452881
0,7,3.6984572410583496,0.9875415563583374
0,8,4.882303237915039,0.9962030053138733
0,9,5.234618186950684,0.9973320364952087
0,10,3.3612499237060547,0.9825009703636169
0,11,2.2123191356658936,0.9436914324760437
0,12,1.8087503910064697,0.9144076108932495
0,13,2.544576406478882,0.9599446654319763
0,14,2.660841464996338,0.9644224047660828
0,15,3.2350521087646484,0.9801234006881714
0,16,1.6272786855697632,0.8964020013809204
0,17,9.82211971282959,0.9999728798866272
0,18,2.0314829349517822,0.9321261048316956
0,19,5.370450496673584,0.9976713061332703
0,20,3.544816732406616,0.9854573011398315
0,21,3.8366153240203857,0.9891579747200012
0,22,1.7387751340866089,0.9078901410102844
0,23,3.2637856006622314,0.9806919097900391
0,24,5.596728801727295,0.9981433153152466
0,25,5.089593410491943,0.9969149827957153
0,26,4.285015106201172,0.9930893778800964
0,27,4.542270183563232,0.9946611523628235
0,28,2.5569541454315186,0.9604474902153015
0,29,4.112579345703125,0.9917834997177124
0,30,5.934206008911133,0.9986754655838013
0,31,3.9768166542053223,0.990583062171936
0,32,2.3061654567718506,0.9488716125488281
0,33,2.564126968383789,0.9607359766960144
0,34,5.195488929748535,0.9972254037857056
0,35,3.854170799255371,0.9893476963043213
0,36,1.890846610069275,0.9214423298835754
0,37,3.5838124752044678,0.9860174059867859
0,38,2.433659315109253,0.9551360011100769
0,39,6.497948169708252,0.9992464780807495
0,40,4.243000507354736,0.9927918314933777
0,41,1.6879628896713257,0.9028311967849731
0,42,0.7041749954223633,0.7109737396240234
0,43,0.7742260694503784,0.734125018119812
0,44,2.8258185386657715,0.9699174761772156
0,45,1.6323219537734985,0.8969531059265137
0,46,3.2412540912628174,0.9802474975585938
0,47,3.0377440452575684,0.9757341146469116
0,48,1.5376501083374023,0.8860669136047363
0,49,1.892591118812561,0.9215850830078125
0,50,2.0871105194091797,0.9359246492385864
